product_id,date,current_stock
1,2022-01-01,374
1,2022-01-02,355
1,2022-01-03,328
1,2022-01-04,303
1,2022-01-05,281
1,2022-01-06,267
1,2022-01-07,257
1,2022-01-08,242
1,2022-01-09,217
1,2022-01-10,203
1,2022-01-11,188
1,2022-01-12,170
1,2022-01-13,147
1,2022-01-14,125
1,2022-01-15,103
1,2022-01-16,89
1,2022-01-17,70
1,2022-01-18,55
1,2022-01-19,30
1,2022-01-20,11
1,2022-01-21,0
1,2022-01-22,0
1,2022-01-23,0
1,2022-01-24,0
1,2022-01-25,300
1,2022-01-26,278
1,2022-01-27,258
1,2022-01-28,240
1,2022-01-29,224
1,2022-01-30,207
1,2022-01-31,183
1,2022-02-01,156
1,2022-02-02,133
1,2022-02-03,120
1,2022-02-04,92
1,2022-02-05,62
1,2022-02-06,46
1,2022-02-07,27
1,2022-02-08,0
1,2022-02-09,0
1,2022-02-10,0
1,2022-02-11,0
1,2022-02-12,300
1,2022-02-13,277
1,2022-02-14,248
1,2022-02-15,228
1,2022-02-16,206
1,2022-02-17,181
1,2022-02-18,156
1,2022-02-19,139
1,2022-02-20,116
1,2022-02-21,93
1,2022-02-22,73
1,2022-02-23,39
1,2022-02-24,22
1,2022-02-25,0
1,2022-02-26,0
1,2022-02-27,0
1,2022-02-28,0
1,2022-03-01,300
1,2022-03-02,281
1,2022-03-03,260
1,2022-03-04,233
1,2022-03-05,208
1,2022-03-06,188
1,2022-03-07,179
1,2022-03-08,150
1,2022-03-09,131
1,2022-03-10,105
1,2022-03-11,89
1,2022-03-12,68
1,2022-03-13,46
1,2022-03-14,29
1,2022-03-15,13
1,2022-03-16,0
1,2022-03-17,0
1,2022-03-18,0
1,2022-03-19,0
1,2022-03-20,300
1,2022-03-21,276
1,2022-03-22,254
1,2022-03-23,230
1,2022-03-24,218
1,2022-03-25,194
1,2022-03-26,177
1,2022-03-27,163
1,2022-03-28,141
1,2022-03-29,128
1,2022-03-30,113
1,2022-03-31,92
1,2022-04-01,63
1,2022-04-02,44
1,2022-04-03,23
1,2022-04-04,9
1,2022-04-05,0
1,2022-04-06,0
1,2022-04-07,0
1,2022-04-08,0
1,2022-04-09,300
1,2022-04-10,285
1,2022-04-11,262
1,2022-04-12,242
1,2022-04-13,225
1,2022-04-14,205
1,2022-04-15,189
1,2022-04-16,167
1,2022-04-17,154
1,2022-04-18,139
1,2022-04-19,125
1,2022-04-20,110
1,2022-04-21,86
1,2022-04-22,69
1,2022-04-23,52
1,2022-04-24,34
