product_id,date,sales_quantity
1,2022-01-01,65
1,2022-01-02,69
1,2022-01-03,40
1,2022-01-04,57
1,2022-01-05,32
1,2022-01-06,40
1,2022-01-07,98
1,2022-01-08,17
1,2022-01-09,56
1,2022-01-10,71
1,2022-01-11,76
1,2022-01-12,33
1,2022-01-13,53
1,2022-01-14,49
1,2022-01-15,58
1,2022-01-16,44
1,2022-01-17,64
1,2022-01-18,26
1,2022-01-19,65
1,2022-01-20,71
1,2022-01-21,36
1,2022-01-22,79
1,2022-01-23,59
1,2022-01-24,50
1,2022-01-25,43
1,2022-01-26,53
1,2022-01-27,93
1,2022-01-28,63
1,2022-01-29,61
1,2022-01-30,41
1,2022-01-31,37
1,2022-02-01,3
1,2022-02-02,45
1,2022-02-03,37
1,2022-02-04,57
1,2022-02-05,48
1,2022-02-06,92
1,2022-02-07,33
1,2022-02-08,24
1,2022-02-09,45
1,2022-02-10,22
1,2022-02-11,66
1,2022-02-12,57
1,2022-02-13,33
1,2022-02-14,77
1,2022-02-15,15
1,2022-02-16,73
1,2022-02-17,81
1,2022-02-18,69
1,2022-02-19,51
1,2022-02-20,66
1,2022-02-21,68
1,2022-02-22,69
1,2022-02-23,24
1,2022-02-24,35
1,2022-02-25,25
1,2022-02-26,43
1,2022-02-27,62
1,2022-02-28,34
1,2022-03-01,52
1,2022-03-02,32
1,2022-03-03,39
1,2022-03-04,61
1,2022-03-05,33
1,2022-03-06,31
1,2022-03-07,36
1,2022-03-08,35
1,2022-03-09,61
1,2022-03-10,29
1,2022-03-11,70
1,2022-03-12,19
1,2022-03-13,35
1,2022-03-14,65
1,2022-03-15,63
1,2022-03-16,62
1,2022-03-17,54
1,2022-03-18,75
1,2022-03-19,35
1,2022-03-20,68
1,2022-03-21,62
1,2022-03-22,59
1,2022-03-23,33
1,2022-03-24,77
1,2022-03-25,75
1,2022-03-26,37
1,2022-03-27,32
1,2022-03-28,61
1,2022-03-29,0
1,2022-03-30,45
1,2022-03-31,67
1,2022-04-01,75
1,2022-04-02,36
1,2022-04-03,37
1,2022-04-04,2
1,2022-04-05,46
1,2022-04-06,0
1,2022-04-07,1
